Study_ID,PFAS_focus,PFAS_focus_comments,PFAS_one_many,Year_sampling_start,Year_sampling_end,Year_sampling_comments,Species_one_many,Species_comment,Habitat,Habitat_comments,Sex,Sex_Comments,Developmental_stage,Developmental_stage_comments,Functional_aspects,Functional_aspects_comments,Biogeographical_region,Biogeographical_region_comments,Tissue_one_many,Tissue_one_many_comments,Study_comment,Checked,
P_0378,No,,Multiple,2014,2015,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,Comparison of PFAS conc in fish and fish consumers,Temperate,,One,,,LR,
P_0461,Yes,,Multiple,2014,2014,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,"Spatial distribution of PFAS, bioconcentration
behaviour of individual PFAS, human health risk",Tropical,,One,,,CV,
P_0452,Yes,,Multiple,2015,2015,,One,,Freshwater,,Mixed,,Juvenile/adult,,Yes,Bioaccumulation and tissue distribution,Subtropical,,Multiple,,,CV,
P_0385,Yes,,Multiple,2015,2015,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,Tissue distribution and bioaccumulation of PFAS,Subtropical,,Multiple,,,LR,
P_0132,No,,One,2015,2015,,Multiple,,Freshwater,,Mixed,,Juvenile/adult,,Yes,,Temperate,,Multiple,,Not sure if functional aspect,CV,
P_0315,Yes,,Multiple,2015,2019,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Temperate,,Multiple,,,CV,
P_0037,Yes,,Multiple,2015,2019,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,"Impact of depth of lake on PFAS concentration in fish, PFAS transport mechanisms",Temperate,,Multiple,,,CV,
P_0398,Yes,,Multiple,2015,2015,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,Trophodynamics of PFAS in the food web,Temperate,,Multiple,,,CV,
P_0435,Yes,,Multiple,2015,2015,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Subtropical,,One,,,LR,
P_0143,No,,Multiple,2015,2015,,One,,Freshwater,,Unknown,,Juvenile/adult,,Yes,,Subtropical,,One,,Tissue -> multiple tissues but only one investigated for PFAS --> one tissue (we only care about PFAs here),CV,
P_0258,Yes,,Multiple,2015,2015,,One,,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Subtropical,,One,,,CV,
P_0450,Yes,,Multiple,2015,2015,,One,,Freshwater,,Unknown,,Juvenile/adult,,Yes,Human exposure from aligator meat,Subtropical,,One,,,LR,
P_0041,No,,Multiple,2015,2015,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0023,Yes,,Multiple,2015,2016,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0392,Yes,,Multiple,2015,2015,,One,,Freshwater,,Male,,Juvenile/adult,,Yes,Difference in PFASs levels between raw and cooked fish,Temperate,,One,,,CV,
P_0556,Yes,,Multiple,2015,2018,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,biomagnification and human health risk through the consumption of PFAS-contaminated fish,Temperate,,One,(cv) Didn't find note for Tissue in documents (LR) muscle samples. Sample preparation paragraph.,,CV,
P_0566,Yes,,Multiple,2015,2015,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,risk assessment of human PFAS via fish consumption,Temperate,,One,,,CV,
P_0627,Yes,,Multiple,2016,2016,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,trophic transfer of PFAS,Temperate,,Multiple,,,CV,
P_0565,No,,One,2016,2017,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,derivation of conversion factor by fillet-to-whole fish concentrations,Temperate,,Multiple,,,CV,
P_0427,Yes,,Multiple,2016,2018,,Multiple,,Freshwater,,Unknown,,Mixed,,Yes,"identify potential emission sources of PFASs, evaluate the exposure levels of individual PFASs to people",Temperate,,Multiple,,,LR,
P_0233,No,,Multiple,2016,2017,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Subtropical,,One,,,CV,
P_0424,Yes,,Multiple,2016,2017,,One,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,LR,
P_0604,No,,Multiple,2016,2016,,One,,Freshwater,,Female,,Juvenile/adult,,Yes,Correlation between PFAS conc and thyroid function/immune status,Temperate,,One,,,LR,
P_0238,No,,Multiple,2016,2016,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Temperate,,One,,,CV,
P_0294,Yes,,Multiple,2016,2016,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Temperate,,One,,,CV,
P_0202,Yes,,Multiple,2016,2016,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,Point source characterization and estimation of bioaccumulation factors,Temperate,,One,,,CV,
P_0617,Yes,,Multiple,2016,2016,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,human risk assessment and evaluation of PFAS ecologial process in water source,Temperate,,One,,,CV,
P_0644,Yes,,Multiple,2016,2018,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,"Patterns of PFAS distribution, assessment of the seasonality impacts on contaminants concentrations",Temperate,,One,"(CV) Doesn't say, but since they examined zooplancton only, I assume they took the whole tiny animal. (LR) agree",,LR,
P_0309,Yes,,Multiple,2017,2017,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Subtropical,,Multiple,Fish: one,,CV,
P_0312,No,,Multiple,2017,2017,,One,,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Subtropical,,Multiple,,,CV,
P_0411,Yes,,Multiple,2017,2017,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,Bioaccumulation of PFAS in different biological tissues,Temperate,,Multiple,,,CV,
P_0390,No,,Multiple,2017,2017,,Multiple,,Freshwater,,Mixed,,Juvenile/adult,,Yes,Spatial profiles of PFAS,Tropical,,Multiple,,,CV,
P_0637,Yes,,Multiple,2017,2017,,One,,Freshwater,,Unknown,,Juvenile/adult,,Yes,Evaluation of Different Extraction Methods,Subtropical,,One,,,LR,
P_0185,No,,Multiple,2017,2017,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0663,Yes,,Multiple,2017,2017,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Temperate,,One,,,CV,
P_0343,Yes,,Multiple,2017,2017,,One,,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Temperate,,One,,,CV,
P_0552,No,,Multiple,2018,2018,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,"Biomagnificantion, assessment of plausibility of the ‘Food web on ice’ approach",Temperate,,Multiple,,,LR,
P_0032,Yes,,Multiple,2018,2018,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,"Evaluation of trophic magnification factor, bioaccumulation, transport of PFAS",Temperate,,Multiple,,,CV,
P_0602,Yes,,Multiple,2018,2018,,One,,Freshwater,,Mixed,,Juvenile/adult,,Yes,Association between PFAS levels and biomarkers of altered immune and liver function,Subtropical,,One,,,LR,
P_0404,No,,Multiple,2018,2018,,One,,Freshwater,,Mixed,,Juvenile/adult,,Yes,bioaccumulation and sexually dimorphic growth-dependent accumulation of POPs,Temperate,,One,,,CV,
P_0373,Yes,,Multiple,2018,2018,,One,,Freshwater,,Mixed,,Juvenile/adult,,Yes,"Correlation between PFAS conc with site, sex, season and type of land use",Temperate,,One,,,LR,
P_0333,Yes,,Multiple,2018,2018,,Multiple,Fish: one,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Temperate,,One,,,CV,
P_0551,Yes,,Multiple,2018,2018,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,Temporal and spatial trends,Temperate,,One,,,LR,
P_0639,Yes,,Multiple,2018,2019,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,Factors of bioaccumulation of PFAS in fish,Temperate,,One,,,LR,
P_0361,Yes,,Multiple,2018,2018,,One,,Freshwater,,Unknown,,Juvenile/adult,,Yes,Fluorine mass balance analysis,Temperate,,One,,,LR,
P_0599,Yes,,Multiple,2019,2019,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,potential human health risks,Subtropical,,Multiple,,,LR,
P_0601,Yes,,Multiple,2020,2020,,Multiple,,Freshwater,"Usually we count insects as terrestrial, however, I assume these were larvea as they were collected from the river",Unknown,,Juvenile/adult,,Yes,Assessment of the utility of benthic macroinvertebrate as bioindicators for PFAS contamination,Temperate,,Multiple,"(CV) Not clearly stated in paper, but as they sampled crayfish and insect larvae, it would have to be at least two types of tissues. (LR) agree",,LR,
P_0595,Yes,,Multiple,2021,2021,,One,,Freshwater,,Female,,Juvenile/adult,,Yes,PFAS bioaccumulation and qualitative metabolic disturbances within impacted turtles,Subtropical,,One,,,LR,
P_0488,Yes,,Multiple,unknown,unknown,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Subtropical,,Multiple,,,LR,
P_0297,Yes,,Multiple,Unknown,Unknown,,One,,Freshwater,,Mixed,,Juvenile/adult,,Yes,bioaccumulation,Subtropical,,Multiple,,,CV,
P_0403,Yes,,Multiple,unknown,unknown,,One,,Freshwater,,Unknown,,Juvenile/adult,,Yes,Tissue distribution and bioaccumulation of PFOS,Temperate,,Multiple,,,CV,
P_0469,Yes,,Multiple,unknown,unknown,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,Identification of PFAS sources and determination of bioconcentration and bioaccumulation,Mixed,,One,,,CV,
P_0227,Yes,,Multiple,Unknown,Unknown,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Subtropical,,One,,,CV,
P_0618,Yes,,Multiple,unknown,unknown,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,,
P_0332,No,,Multiple,unknown,unknown,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,Spatial bioaccumulation,Temperate,,One,,,CV,
P_0616,Yes,,Multiple,unknown,unknown,,Multiple,,Freshwater,,Unknown,,Juvenile/adult,,Yes,characterization of natural baseline enzymatic defences to environmental stressors of two closely related cyprinid species,Temperate,,One,,,CV,
P_0647,Yes,,Multiple,unknown,unknown,,One,,Freshwater,,Unknown,,Juvenile/adult,,Yes,Screening for unknown PFAS compounds using a versatile screening algorithm,Temperate,,One,,,LR,
P_0355,Yes,,Multiple,2010,2010,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,,Temperate,,Multiple,,,CV,
P_0533,Yes,,Multiple,1972,2005,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,Temporal trends,Polar,,One,,,LR,
P_0536,Yes,,Multiple,1972,2002,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,Temporal Trends,Polar,,One,,,LR,
P_0511,Yes,,Multiple,1974,2008,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,temporal trends and toxicological implications fro grey seals exposed by PFCs,Temperate,,One,,,CV,
P_0140,Yes,,Multiple,1980,2005,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,"There was substantial differences in PFAS concentrations with respect to stages in life history, placental transfer of PFAS noted",Temperate,,One,,,CV,
P_0479,No,,Multiple,1981,2012,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,Temporal trends,Mixed,,One,,,LR,
P_0286,Yes,,Multiple,1981,2013,,One,,Marine,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0573,No,,Multiple,1982,2013,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,temporal trends,Polar,,One,,,CV,
P_0082,Yes,,Multiple,1982,2003,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,Correlation of sex and PFAS burden,Polar,,One,,,CV,
P_0273,Yes,,Multiple,1982,2011,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,Temporal trends and comparison to other regions,Polar,,One,,,CV,
P_0168,Yes,,Multiple,1982,2002,,One,,Marine,,Mixed,,Mixed,,Yes,Transplacental transfer of PFAS investigated,Subtropical,,One,,,CV,
P_0120,No,,One,1983,2013,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,Risk quotients for PFOS calculated - including carcinogenic risk,Polar,,One,,,CV,
P_0277,Yes,,Multiple,1984,2009,,Multiple,,Marine,,Mixed,,Juvenile/adult,,Yes,Temporal trends,Mixed,,Multiple,,,CV,
P_0656,Yes,,Multiple,1984,2006,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,Temporal trends,Polar,,One,,,LR,
P_0455,Yes,,Multiple,1986,2013,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,Temporal trends and bioaccumulation modeling,Polar,,Multiple,,,CV,
P_0270,No,,Multiple,1987,2007,,One,,Marine,,Male,,Juvenile/adult,,Yes,Correlation between POPs and vitamins investigated,Temperate,,One,,,CV,
P_0269,Yes,,Multiple,1989,2006,,One,,Marine,,Mixed,,Mixed,,Yes,"Gender differences in PFAS content, and relationship of PFCs with length investigated",Mixed,,One,,,CV,
P_0045,Yes,,Multiple,1990,2010,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,"The effect of age, sex and body conditions on PFAS concentration",Polar,,One,,,CV,
P_0183,Yes,,Multiple,1991,2008,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,Sex and age associated distribution of PFASs was investigated,Temperate,,One,,,CV,
P_0659,Yes,,Multiple,1991,1996,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,Comparison of PFAS levels in different harbour pupoise populations,Temperate,,One,,,LR,
P_0492,Yes,,Multiple,1991,2011,,One,,Marine,,Unknown,,Juvenile/adult,,Yes,Temporal trends,Temperate,,One,,,LR,
P_0007,Yes,,Multiple,1992,2005,,Multiple,,Marine,,Mixed,,Mixed,,Yes,,Mixed,,Multiple,,,CV,
P_0523,Yes,,Multiple,1992,2007,,One,,Marine,,Male,,Juvenile/adult,,Yes,temporal and spatial trends,Polar,,One,,,CV,
P_0545,Yes,,One,1992,1999,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,Development of new method for analysis for PFAS,Polar,,One,,,LR,
P_0197,Yes,,Multiple,1992,2002,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,Significant association between infectious diseases and elevated concentrations of PFOS/PFOA in liver of sea otters,Subtropical,,One,,,CV,
P_0529,Yes,,Multiple,1992,2003,,One,,Marine,,Mixed,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0437,Yes,,Multiple,1993,2005,,Multiple,,Marine,,Mixed,,Juvenile/adult,,Yes,Comparison of PFAA concentrations in paired blubber samples to determine if this lipid rich tissue could be used as a blank tissue for PFAA concentrations in each animal,Temperate,,Multiple,,,LR,
P_0540,No,,Multiple,1993,2002,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,"Comparison of PFAS burdens across regions, assessment of possible PFAS sources",Polar,,One,,,LR,
P_0131,No,,Multiple,1994,2017,,Multiple,Fish: one,Marine,,Unknown,,Juvenile/adult,,No,,Temperate,,Multiple,,,CV,
P_0317,Yes,,Multiple,1994,2000,,Multiple,,Marine,,Mixed,,Juvenile/adult,,Yes,Link between PFAS exposure level and stable isotope ratios,Temperate,,Multiple,,,CV,
P_0476,No,,Multiple,1995,2009,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,Temporal trends,Subtropical,,One,,,CV,
P_0531,No,,Multiple,1995,1998,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,"Sea otters used as bioindicators for the habitat, evaluation of geographical differences and patterns of exposures",Temperate,,One,,,LR,
P_0314,Yes,,Multiple,1996,2002,Fish: 2000-2001,Multiple,,Marine,,Unknown,,Juvenile/adult,,No,,Polar,,Multiple,,,CV,
P_0196,Yes,,One,1996,1998,,One,,Marine,,Unknown,,Juvenile/adult,,No,,Mixed,,One,,,CV,
P_0028,Yes,,Multiple,1996,2014,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,Temporal trends,Polar,,One,,,CV,
P_0319,Yes,,Multiple,1997,1998,,One,,Marine,,Mixed,,Mixed,,Yes,Link between PFAS concentration and stable isotope measurements investigated to see intraspecies segregation,Temperate,,Multiple,,,CV,
P_0208,Yes,,Multiple,1997,2013,,Multiple,,Marine,,Mixed,,Juvenile/adult,,Yes,"Age and phylogenetic class influences PFAS concentrations, Relationship between PFAA exposure and PPAR and CYP4A expression shown",Tropical,,Multiple,,,CV,
P_0169,Yes,,Multiple,1997,1999,,One,,Marine,,Mixed,,Juvenile/adult,,No,,Mixed,,One,,,CV,
P_0495,No,,Multiple,1998,2008,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,Transthyretin-Binding Activity of pollutants,Polar,,One,,,LR,
P_0583,Yes,,Multiple,1998,2008,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,Comparison between PFAS levels in mothers in their cubs,Polar,,One,,,CV,
P_0542,Yes,,Multiple,1999,2002,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,"Assessment of potential metabolic PFAS pathways in polar bears, spatial trends, correlation between PFAS conc and age and sex",Polar,,Multiple,,,LR,
P_0299,No,,One,1999,2010,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,Assessed lesions in liver and analysed effects from contaminant concentrations (including PFCs),Polar,,Multiple,,,CV,
P_0009,Yes,,Multiple,1999,2003,,Multiple,,Marine,,Unknown,,Mixed,,Yes,Bioaccumulation,Polar,,Multiple,,,CV,
P_0250,Yes,,Multiple,1999,2004,Fish: 2000-2003,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Subtropical,,Multiple,Fish: one,,CV,
P_0543,Yes,,Multiple,1999,2001,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,Assessment of PFAS concentration in relation to age and gender,Polar,,One,,,LR,
P_0655,Yes,,Multiple,1999,2008,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,"Temporal trends, association between PFC concentrations and diseases, spatial distribution, age and sex",Temperate,,One,,,LR,
P_0139,Yes,,Multiple,1999,2002,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,"Some species have higher capacity of transforming from PFOSA to PFOS, There may be a relationship between species size and metabolism of perfluorinated carboxylic acids, species specific differences in PFAS contamination",Temperate,,One,,,CV,
P_0300,Yes,,Multiple,2000,2017,,Multiple,,Marine,,Mixed,,Mixed,,No,,Mixed,,One,,,CV,
P_0306,No,,Multiple,2000,2014,,One,,Marine,,Female,,Juvenile/adult,,Yes,Correlation between space use and contaminant burden,Polar,,One,,,CV,
P_0084,Yes,,Multiple,2000,2001,,Multiple,Fish: One,Marine,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Polar,,One,,,CV,
P_0657,Yes,,Multiple,2000,2004,,Multiple,,Marine,,Mixed,,Juvenile/adult,,No,,Subtropical,,One,,,LR,
P_0291,Yes,,Multiple,2000,2007,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,"Investigated trends of PFAS in liver of seal including maternal transfer, bioacuumulation profile of long chain PFAS",Temperate,,One,,,CV,
P_0534,Yes,,Multiple,2002,2005,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,PERFLUOROALKYL COMPOUNDS IN RELATION TO LIFE-HISTORY AND REPRODUCTIVE PARAMETERS,Subtropical,,Multiple,,,LR,
P_0177,Yes,,Multiple,2002,2004,Fish: 2002-2003,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Subtropical,,Multiple,,,CV,
P_0316,Yes,,Multiple,2002,2002,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,"Tissue specific differences in PFAS concentration and accumulation, relationship between PFDA and body length",Temperate,,Multiple,,,CV,
P_0530,Yes,,Multiple,2002,2005,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,"Spatial trends of PFAS in seals, correlation between PFAS conc and age, sex & stable isotopes ",Polar,,One,,,CV,
P_0160,Yes,,Multiple,2002,2008,,One,,Marine,,Unknown,,Juvenile/adult,,No,,Subtropical,,One,,,CV,
P_0505,Yes,,Multiple,2002,2002,,One,,Marine,,Unknown,,Juvenile/adult,,Yes,Spatial and temporal trends,Temperate,,One,,,LR,
P_0214,Yes,,Multiple,2002,2014,,Multiple,,Marine,,Mixed,,Juvenile/adult,,Yes,Potential of PFAS in liver to cause adverse effects was evaluated,Tropical,,One,,,CV,
P_0127,Yes,,Multiple,2003,2003,,Multiple,Fish: one,Marine,,Unknown,,Juvenile/adult,,No,,Temperate,,Multiple,Fish: one,,CV,
P_0428,No,,One,2003,2017,,One,,Marine,,Unknown,,Juvenile/adult,,Yes,Suitability of specimen bank samples for pollutant assessment,Temperate,,Multiple,,,LR,
P_0180,Yes,,Multiple,2003,2003,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,"Relationship between PFAS and biological parameters including age, length and weight investigated",Mixed,,One,,,CV,
P_0527,Yes,,Multiple,2003,2007,,Multiple,,Marine,,Unknown,,Juvenile/adult,,No,,Polar,,One,,,CV,
P_0076,No,,Multiple,2003,2003,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,There were gender specific differences in PFAS concentration.,Polar,,One,,,CV,
P_0539,Yes,,Multiple,2003,2003,,Multiple,,Marine,,Mixed,,Juvenile/adult,,Yes,"influence of life history traits on PFAS concentrations, including species comparison, gender differences, bioaccumulation with carapace length (used as a proxy for age), and a geographical comparison",Subtropical,,One,,,LR,
P_0406,Yes,,Multiple,2003,2015,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,Temporal trends,Subtropical,,One,,,CV,
P_0525,No,,Multiple,2003,2007,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,mass balance analysis of fluorinated organics,Subtropical,,One,,,CV,
P_0537,Yes,,Multiple,2003,2003,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,Correlation between PFAS in fish and human exposure,Temperate,,One,,,LR,
P_0353,No,,Multiple,2004,2007,Fish: 2004-2005,Multiple,,Marine,,Unknown,,Juvenile/adult,,No,,Polar,,Multiple,,,CV,
P_0266,Yes,,Multiple,2004,2004,,Multiple,Fish: one,Marine,,Unknown,,Juvenile/adult,,No,,Polar,,Multiple,Fish: one,,CV,
P_0283,Yes,,Multiple,2004,2004,,Multiple,,Marine,,Mixed,,Mixed,,No,,Polar,,Multiple,,,CV,
P_0170,Yes,,Multiple,2004,2004,,Multiple,Fish: one,Marine,,Mixed,,Juvenile/adult,,Yes,bioaccumulation,Polar,,Multiple,,,CV,
P_0538,Yes,,Multiple,2004,2004,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,to develop a practical method for measuring a broad range of PFAS in biological matrices,Mixed,,One,,,LR,
P_0528,No,,Multiple,2005,2005,,One,,Marine,,Mixed,,Juvenile/adult,,No,,Subtropical,,Multiple,,,CV,
P_0512,Yes,,Multiple,2005,2006,,One,,Marine,,Unknown,,Juvenile/adult,,Yes,Temporal and spatial trends,Mixed,,One,,,CV,
P_0156,Yes,,Multiple,2006,2006,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,Pharmokinetics of PFAS in the body is tissue specific,Polar,,Multiple,,,CV,
P_0154,Yes,,One,2006,2006,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,"There are tissue specific patterns for isomers of PFOS, There may be differences in protein interactions + metabolism in the body for different isomers of PFOS",Polar,,Multiple,,,CV,
P_0344,Yes,,Multiple,2006,2006,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,bioaccumulation and trophic transfer,Subtropical,,Multiple,,,CV,
P_0280,Yes,,Multiple,2006,2006,,One,,Marine,,Female,,Juvenile/adult,,No,,Polar,,One,,,CV,
P_0155,Yes,,Multiple,2006,2006,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,PFAS cross the blood brain barrier in polar bears and there is brain region-specific distribution,Polar,,One,,,CV,
P_0012,Yes,,Multiple,2006,2006,,Multiple,,Marine,,Mixed,,Juvenile/adult,,Yes,Accumulation profiles in the liver showed differences in metabolic profiles between species,Subtropical,,One,,,CV,
P_0634,Yes,,Multiple,2006,2007,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,Comparison of PFAS concentration across several turtle species and comparison with their trophic level,Subtropical,,One,,,CV,
P_0519,Yes,,Multiple,2006,2007,,Multiple,,Marine,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0065,Yes,,Multiple,2007,2007,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,There is a compound specific persistence of PFCs in different tissues of harbour seals,Temperate,,Multiple,,,CV,
P_0096,No,,Multiple,2007,2007,,Multiple,,Marine,,Mixed,,Juvenile/adult,,No,,Mixed,,One,,,CV,
P_0090,No,,Multiple,2007,2009,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,Biomagnification,Polar,,One,,,CV,
P_0311,No,,Multiple,2007,2010,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,Investigated use of fur as biomarker for POPs,Temperate,,One,,,CV,
P_0654,Yes,,Multiple,2007,2007,,One,,Marine,,Unknown,,Juvenile/adult,,Yes,Assessment of the performance of the quantification analysis techniques,Temperate,,One,,,LR,
P_0467,No,,Multiple,2008,2012,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,Human exposure assessment,Polar,,Multiple,,,CV,
P_0153,Yes,,Multiple,2008,2008,,One,,Marine,,Unknown,,Mixed,,Yes,Maternal transfer of PFAS,Polar,,Multiple,,,CV,
P_0249,Yes,,Multiple,2008,2009,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Mixed,,One,,,CV,
P_0430,No,,Multiple,2008,2008,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,associations between circulating concentrations of THs and PFASs in adult female hooded seals and their nursing pups,Polar,,One,,,LR,
P_0578,Yes,,Multiple,2008,2009,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,Geographical trends,Polar,,One,,,CV,
P_0359,Yes,,Multiple,2008,2020,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,Investigating the role of bottlenose dolphins as sentinels for the region's pollutant levels,Subtropical,,One,,,LR,
