Study_ID,PFAS_focus,PFAS_focus_comments,PFAS_one_many,Year_sampling_start,Year_sampling_end,Year_sampling_comments,Species_one_many,Species_comment,Habitat,Habitat_comments,Sex,Sex_Comments,Developmental_stage,Developmental_stage_comments,Functional_aspects,Functional_aspects_comments,Biogeographical_region,Biogeographical_region_comments,Tissue_one_many,Tissue_one_many_comments,Study_comment,Checked,
P_0484,Yes,,Multiple,2008,2008,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,Evaluation of transfer of PFAS from sediment to biota,Subtropical,,One,,,LR,
P_0063,Yes,,Multiple,2008,2008,,One,,Marine,,Mixed,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0034,Yes,,Multiple,2009,2019,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,Temporal trends and tissue specific bioaccumulation of PFAS,Subtropical,,Multiple,,,CV,
P_0502,Yes,,Multiple,2009,2009,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,Human exposure risk,Subtropical,,Multiple,,,LR,
P_0053,Yes,,Multiple,2009,2018,,Multiple,,Marine,,Mixed,,Juvenile/adult,,Yes,Tissue specific concentration differences reflects PFAS toxicokinetics,Temperate,,Multiple,,,CV,
P_0279,No,,Multiple,2009,2010,,One,,Marine,,Mixed,,Juvenile/adult,,No,,Polar,,One,,,CV,
P_0121,No,,Multiple,2009,2010,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,"Influence of land use, storm water discharge, and treated wastewater effluent on PFAS concentrations",Subtropical,,One,,,CV,
P_0111,No,,Multiple,2010,2010,,Multiple,,Marine,,Unknown,,Juvenile/adult,,No,,Polar,,Multiple,,,CV,
P_0626,Yes,,Multiple,2010,2013,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,Temporal trends,Polar,,Multiple,,,CV,
P_0648,No,,Multiple,2010,2010,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,Human health risk from fish/whale meat consumption,Polar,,Multiple,,,LR,
P_0135,No,,Multiple,2010,2013,,Multiple,,Marine,,Mixed,,Juvenile/adult,,Yes,Tissue specific bioaccumulation of PFAS,Temperate,,Multiple,,,CV,
P_0456,Yes,,Multiple,2010,2014,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,"Spatial and temporal variations in the Bohai Sea, and trophic transfer of PFAS",Temperate,,Multiple,,,CV,
P_0134,No,,Multiple,2010,2014,,Multiple,,Marine,,Mixed,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0622,Yes,,Multiple,2011,2012,,Multiple,,Marine,,Mixed,,Juvenile/adult,,Yes,"Biomagnification factors, biotransformation capacity and geographical subpopulation comparisons",Polar,,Multiple,,,CV,
P_0081,Yes,,Multiple,2011,2012,,Multiple,,Marine,,Mixed,,Mixed,,Yes,"Bioaccumulation, Dietary exposure relationship of PFAS",Polar,,Multiple,,,CV,
P_0489,Yes,,Multiple,2011,2011,,Multiple,,Marine,,Mixed,,Juvenile/adult,,Yes,Human exposure due to fish consumption,Temperate,,Multiple,,,LR,
P_0371,Yes,,Multiple,2011,2013,,Multiple,,Marine,,Unknown,,Mixed,,Yes,"Correlation of PFAS conc with tropic level, proximity to human populations and military bases, maternal transfer to eggs & reproductive success",Tropical,,Multiple,,,LR,
P_0606,Yes,,Multiple,2011,2011,,One,,Marine,,Unknown,,Juvenile/adult,,Yes,"Investigation the existing differences between farmed and wildcaught, taking into account the morphometric characteristics of the fish",Mixed,,One,,,LR,
P_0611,Yes,,Multiple,2011,2012,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,PFAS concetration in different polar bears' brain tissues,Polar,,One,,,CV,
P_0260,Yes,,Multiple,2011,2012,,One,,Marine,,Unknown,,Juvenile/adult,,Yes,"Correlation between neurochemical markers and PFAS, correlation between brain region and PFAS compound concentration",Polar,,One,,,CV,
P_0473,Yes,,Multiple,2011,2011,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,Comparison of PFAS conc between cooked and raw fish,Subtropical,,One,,,CV,
P_0350,Yes,,Multiple,2011,2012,,Multiple,,Marine,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0207,Yes,,Multiple,2012,2012,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Polar,,Multiple,,Bioaccumulation not explicitly mentioned but perhaps implied,CV,
P_0405,Yes,,Multiple,2012,2013,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,Trophic transfer of PFAS,Polar,,Multiple,,,CV,
P_0284,No,,Multiple,2012,2012,,One,,Marine,,Mixed,,Mixed,,Yes,Maternal transfer,Temperate,,Multiple,,,CV,
P_0004,Yes,,Multiple,2012,2013,,Multiple,,Marine,,Unknown,,Mixed,,No,,Polar,,One,,,CV,
P_0086,No,,Multiple,2012,2013,,One,,Marine,,Female,,Juvenile/adult,,Yes,Relationship between PFAS and Thyroid hormones,Polar,,One,,,CV,
P_0445,No,,Multiple,2012,2013,,One,,Marine,,Female,,Juvenile/adult,,Yes,Impact of pollutants on  lipid metabolism,Polar,,One,,,LR,
P_0015,Yes,,Multiple,2012,2013,,One,,Marine,,Female,,Juvenile/adult,,Yes,"Correlation of PFAS burdens and multiple factors (habitat quality, season, year, diet, metabolic state [i.e. feeding/fasting], breeding status and age)",Polar,,One,,,CV,
P_0462,No,,Multiple,2012,2012,,One,,Marine,,Unknown,,Juvenile/adult,,Yes,Bioaccumulation and human exposure of PFAS by tuna consumption,Subtropical,,One,,,CV,
P_0129,No,,Multiple,2012,2017,,One,,Marine,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,"""The herring was sampled from commercial catches in fishery areas"" (does this still count as wildlife exposure), sample preparation not known, but most likely whole fish/muscle? --> Agreed",CV,
P_0413,No,,Multiple,2012,2013,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,Environmental risk assessment,Temperate,,One,,,CV,
P_0478,Yes,,Multiple,2012,2013,,One,,Marine,,Unknown,,Juvenile/adult,,Yes,Assessment of contribution of sea fish consumption to human PFCA exposure,Temperate,,One,,,CV,
P_0033,Yes,,Multiple,2012,2018,,Multiple,,Marine,,Mixed,,Juvenile/adult,,Yes,Temporal trends,Tropical,,One,,,CV,
P_0621,No,,Multiple,2012,2012,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,Immunomodulatory effects of PFAS exposure,Polar,,One,,,CV,
P_0243,No,,Multiple,2013,2014,,One,,Marine,,Male,,Juvenile/adult,,Yes,Link between contaminant exposure and metabolite profiles investigated ,Polar,,Multiple,,,CV,
P_0223,No,,Multiple,2013,2014,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,Age-sex differences with POPs investigated,Polar,,Multiple,,,CV,
P_0460,Yes,,Multiple,2013,2013,,One,,Marine,,Female,,Juvenile/adult,,No,,Subtropical,,Multiple,,,CV,
P_0146,Yes,,Multiple,2013,2014,Fish: 2013,Multiple,,Marine,,Unknown,,Mixed,Fish: Juvenile/adult,Yes,bioaccumulation,Temperate,,Multiple,Fish: one,,CV,
P_0245,No,,Multiple,2013,2014,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,Tissue-specific bioaccumulation,Tropical,,Multiple,,,CV,
P_0592,No,,Multiple,2013,2014,,Multiple,,Marine,,Mixed,,Juvenile/adult,,Yes,link the pollutant content to lipid content of fish and follow their seasonal variation in different age classes,Temperate,,One,,,LR,
P_0414,Yes,,Multiple,2013,2017,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,Spatial distribution and temporal profile shifts,Temperate,,One,,,CV,
P_0612,No,,Multiple,2013,2014,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,POPs levels in relation to top predator fish's trophic ecology,Tropical,,One,,,CV,
P_0052,Yes,,Multiple,2014,2016,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,Exposure risks of PFOA and PFOS to human health evaluated,Mixed,,One,,Excluded,CV,
P_0278,No,,Multiple,2014,2015,,One,,Marine,,Male,,Juvenile/adult,,Yes,Relationships between PFAS exposure and endocrine and immune function,Polar,,One,,,CV,
P_0288,No,,Multiple,2014,2015,,One,,Marine,,Male,,Juvenile/adult,,Yes,"Relationships between organohalogen compounds, feeding habits and pathogen exposure were investigated",Polar,,One,,,CV,
P_0342,Yes,,Multiple,2015,2016,,Multiple,,Marine,,Mixed,,Juvenile/adult,,Yes,bioaccumulation,Subtropical,,Multiple,,,CV,
P_0579,Yes,,Multiple,2015,2015,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,validation of an analytical method,Temperate,,Multiple,,,CV,
P_0448,Yes,,Multiple,2015,2015,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,"Spatial variation, human risk assessment",Tropical,,Multiple,,,LR,
P_0418,Yes,,Multiple,2015,2017,,One,,Marine,,Unknown,,Juvenile/adult,,No,,Mixed,,One,,,CV,
P_0596,Yes,,Multiple,2015,2017,,One,,Marine,,Unknown,,Juvenile/adult,,Yes,Association of PFAS conc and microscopic hepatic changes,Mixed,Tropical and subtropical,One,,,LR,
P_0630,Yes,,Multiple,2015,2016,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,"spatial distribution, species variation of PFAS conc",Temperate,,One,,,CV,
P_0442,Yes,,Multiple,2015,2015,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,Estimate potential health risks for local people consumption of PFAS-contaminated coral reef fish,Tropical,,One,,,LR,
P_0570,Yes,,Multiple,2016,2016,,One,,Marine,,Unknown,,Juvenile/adult,,Yes,Use of phospholipid levels to predict the tissue distribution of PFAS ,Polar,,Multiple,,,CV,
P_0237,No,,Multiple,2016,2016,,One,,Marine,,Unknown,,Juvenile/adult,,No,,Subtropical,,One,,,CV,
P_0554,Yes,,Multiple,2016,2017,,One,,Marine,,Unknown,,Juvenile/adult,,Yes,Validation of PFAS analysis method,Temperate,,One,,,LR,
P_0610,No,,Multiple,2016,2016,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,comparison between POPs concentration in wild and farmed fish,Tropical,,One,,,CV,
P_0035,Yes,,Multiple,2017,2017,,One,,Marine,,Female,,Juvenile/adult,,No,,Polar,,Multiple,,,CV,
P_0216,Yes,,Multiple,2017,2017,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Polar,,Multiple,,,CV,
P_0412,No,,Multiple,2017,2017,,Multiple,,Marine,,Unknown,,Juvenile/adult,,No,,Subtropical,,Multiple,,,CV,
P_0568,Yes,,Multiple,2017,2017,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,accumulation profiles of PFAS among marine species and human health risk assessment,Temperate,,Multiple,,,CV,
P_0364,Yes,,Multiple,2017,2020,,Multiple,,Marine,,Unknown,,Juvenile/adult,,No,,Subtropical,,One,,,LR,
P_0047,Yes,,Multiple,2017,2017,,Multiple,,Marine,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0369,Yes,,Multiple,2018,2018,,Multiple,,Marine,,Unknown,,Juvenile/adult,,No,,Subtropical,,Multiple,,,LR,
P_0108,No,,Multiple,2018,2019,,Multiple,,Marine,,Mixed,,Juvenile/adult,,Yes,,Subtropical,,Multiple,,Maternal transfer,CV,
P_0379,Yes,,Multiple,2018,2018,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,"Bioaccumulation, trophic transfer and biomagnification of PFAS",Subtropical,,Multiple,,,LR,
P_0383,Yes,,Multiple,2018,2018,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,Bioaccumulation and biomagnificaton in subtropical marine food web,Subtropical,,Multiple,,,LR,
P_0021,Yes,,Multiple,2018,2018,,Multiple,,Marine,,Unknown,,Juvenile/adult,,No,,Temperate,,Multiple,,,CV,
P_0345,No,,Multiple,2018,2018,,One,,Marine,,Unknown,,Juvenile/adult,,No,,Polar,,One,,,CV,
P_0220,Yes,,Multiple,2018,2018,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,"Bioaccumulation, spatial distribution",Temperate,,One,,,CV,
P_0559,No,,Multiple,2019,2019,,Multiple,,Marine,,Mixed,,Juvenile/adult,,Yes,potential risk for human health due to consumption of PFAS-contaminated fish,Temperate,,One,,,CV,
P_0553,Yes,,Multiple,2019,2019,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,"Characterisation of PFAS alongside essential and non-essential trace metal concentrations in common dolphins & of potential interactions between contaminants, Correlation between contaminants levels and sex, life history, and stranding location",Temperate,,One,,,LR,
P_0463,No,,Multiple,unknown,unknown,,One,,Marine,,Mixed,,Juvenile/adult,,Yes,Correlation between body contamination and biochemical responses of stress in sharks,Subtropical,,Multiple,,,CV,
P_0664,No,,Multiple,unknown,unknown,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,association between POPs concentration and different trophic levels,Subtropical,,Multiple,,,CV,
P_0653,Yes,,Multiple,unknown,unknown,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,"Assessment of the risk to human health arising from fish
consumption",Subtropical,,Multiple,,,LR,
P_0636,Yes,,One,unknown,unknown,,One,,Marine,,Unknown,,Juvenile/adult,,Yes,Assessment of suitability of sea urchin as bioindicator species,Subtropical,,Multiple,,,LR,
P_0346,Yes,,Multiple,Unknown,Unknown,,One,,Marine,,Unknown,,Juvenile/adult,,No,,Temperate,,Multiple,,Excluded,"Excluded, Exposure experiment",
P_0103,Yes,,One,Unknown,Unknown,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Temperate,,Multiple,Fish: One,,CV,
P_0130,No,,Multiple,Unknown,Unknown,,Multiple,,Marine,,Unknown,,Juvenile/adult,,No,,Temperate,,Multiple,,"Year of sampling unknown, for some fish muscle only, for some fish whole fish homogenised",CV,
P_0335,Yes,,Multiple,Unknown,Unknown,,Multiple,,Marine,,Unknown,,Juvenile/adult,,No,,Mixed,,One,,,CV,
P_0290,Yes,,Multiple,Unknown,Unknown,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Subtropical,,One,,,CV,
P_0349,No,,Multiple,Unknown,Unknown,,Multiple,,Marine,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0485,No,,Multiple,unknown,unknown,,One,,Marine,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,LR,
P_0518,Yes,,Multiple,unknown,unknown,,Multiple,,Marine,,Unknown,,Juvenile/adult,,Yes,PFAS extraction method optimization,Temperate,,One,,,CV,
P_0582,Yes,,Multiple,unknown,unknown,,One,,Marine,,Unknown,,Juvenile/adult,,Yes,Comparison of PFAS concentrations in wild and farmed fish,Temperate,,One,,,CV,
P_0122,Yes,,Multiple,Unknown,Unknown,,One,,Marine,,Mixed,,Mixed,,Yes,"Correlation between PFOS and age + length, Placental transfer",Tropical,,One,,,CV,
P_0058,Yes,,Multiple,1966,2014,Fish: 1980-2014,Multiple,Fish: One,Mixed,Fish: Marine,Mixed,Fish: Females,Mixed,Fish: Juvenile/adult,No,,Temperate,,Multiple,Fish: One,,CV,
P_0075,Yes,,Multiple,1970,2006,,Multiple,,Mixed,,Unknown,,Juvenile/adult,,No,,Polar,,Multiple,,,CV,
P_0194,Yes,,Multiple,1979,1999,,Multiple,,Mixed,Fish: Marine,Mixed,,Juvenile/adult,,No,,Mixed,,Multiple,,,CV,
P_0175,Yes,,Multiple,1989,2005,,Multiple,,Mixed,,Unknown,,Mixed,,Yes,relationship between mother-to-egg transfer capacity and PFAS chain length,Temperate,,Multiple,,,CV,
P_0195,Yes,,One,1990,1998,,Multiple,,Mixed,,Unknown,,Mixed,,No,,Mixed,,Multiple,,,CV,
P_0547,Yes,,Multiple,1992,2002,,Multiple,,Mixed,,Mixed,,Juvenile/adult,,No,,Polar,,One,,,LR,
P_0193,Yes,,Multiple,1993,1999,,Multiple,,Mixed,,Mixed,,Juvenile/adult,,Yes,correlation between PFOS and FOSA,Temperate,,One,,,CV,
P_0268,Yes,,Multiple,1994,2009,,Multiple,,Mixed,Fish: freshwater,Unknown,,Mixed,Fish: Juvenile/adult,No,,Temperate,,Multiple,Fish: one,,CV,
P_0640,Yes,,Multiple,1995,2017,,Multiple,,Mixed,,Unknown,,Mixed,,Yes,"Demonstration of applicability and significance of method, temporal and inter-species trends of PFAS conc",Temperate,,Multiple,,,LR,
P_0191,Yes,,Multiple,1995,2000,,Multiple,,Mixed,,Mixed,,Juvenile/adult,,Yes,Relationship between PFOS and lipid content in mink liver,Mixed,,One,,,CV,
P_0050,Yes,,Multiple,1997,2014,,Multiple,,Mixed,,Mixed,,Juvenile/adult,,Yes,Correlation between PFAS concentration and trophic level - trophic transfer,Polar,,Multiple,,,CV,
P_0548,Yes,,Multiple,2000,2002,,Multiple,,Mixed,,Unknown,,Juvenile/adult,,Yes,field-based bioconcentration factors of PFOS in fish.,Temperate,,Multiple,,,LR,
P_0174,Yes,,One,2001,2001,,Multiple,,Mixed,Estuarine and marine,Unknown,,Juvenile/adult,,No,,Temperate,,Multiple,,,CV,
P_0318,Yes,,One,2001,2001,,Multiple,,Mixed,,Unknown,,Juvenile/adult,,Yes,Distribution patterns of PFOS,Temperate,,Multiple,,,CV,
P_0255,Yes,,Multiple,2003,2003,,Multiple,Fish: one,Mixed,Fish: Marine,Unknown,,Juvenile/adult,,No,,Tropical,,Multiple,Fish: One,,CV,
P_0421,Yes,,Multiple,2003,2017,,One,,Mixed,,Mixed,,Juvenile/adult,,Yes,"Correlations between PFAS values and physical morphology, PFAS distribution across different locations",Mixed,,One,,,LR,
P_0285,Yes,,Multiple,2005,2008,,Multiple,,Mixed,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0590,Yes,,Multiple,2006,2009,,Multiple,,Mixed,,Unknown,,Juvenile/adult,,Yes,Assessment of suitable biomonitoring matrix ,Subtropical,,Multiple,"(CV) Not marked anywhere, just assumed since these are very different species. (LR) agree",,LR,
P_0289,Yes,,Multiple,2006,2009,,Multiple,,Mixed,Fish: Estuary,Unknown,,Mixed,Fish: Juvenile/adult,Yes,bioaccumulation,Subtropical,,Multiple,Fish: One,,CV,
P_0522,Yes,,Multiple,2006,2007,,Multiple,,Mixed,,Unknown,,Juvenile/adult,,No,,Temperate,,Multiple,,,CV,
P_0026,No,,Multiple,2006,2016,,Multiple,,Mixed,,Unknown,,Juvenile/adult,,Yes,Biomagnification factors,Temperate,,Multiple,,,CV,
P_0231,Yes,,One,2006,2006,,Multiple,,Mixed,,Unknown,,Mixed,,Yes,relationship between pfos concentrations and distance from a fluoro-chemical plant,Temperate,,Multiple,,,CV,
P_0516,Yes,,Multiple,2008,2008,,Multiple,,Mixed,estuarine + marine,Unknown,,Juvenile/adult,,Yes,risk assessment of PDCs to both humans and wildlife,Temperate,,Multiple,,,CV,
P_0176,Yes,,Multiple,2008,2009,,Multiple,,Mixed,,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Mixed,,One,,,CV,
P_0510,Yes,,Multiple,2008,2008,,Multiple,,Mixed,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0340,Yes,,Multiple,2009,2013,Fish: 2010-2013,Multiple,,Mixed,,Unknown,,Juvenile/adult,,No,,Mixed,,Multiple,,,CV,
P_0078,Yes,,One,2009,2009,,Multiple,,Mixed,,Unknown,,Mixed,,Yes,"Maternal transfer, bioaccumulation",Subtropical,,Multiple,,,CV,
P_0014,Yes,,Multiple,2009,2014,,Multiple,,Mixed,,Unknown,,Mixed,,Yes,"Temporal trends, exposure pathways, and precursor compounds analysis",Subtropical,,Multiple,,,CV,
P_0204,Yes,,Multiple,2009,2010,,Multiple,,Mixed,,Mixed,,Juvenile/adult,,Yes,fish weight correlated poorly with total PFAA concentration --> inverse correlation between the PFAA concentration and fresh weight in the whitefish but no observations with the other fish species (this shows that the correlation is species-specific),Temperate,,Multiple,,,CV,
P_0587,Yes,,Multiple,2009,2009,,Multiple,,Mixed,,Mixed,,Juvenile/adult,,Yes,Possible risk of PFAS exposure for consumer,Subtropical,,One,,,LR,
P_0228,Yes,,Multiple,2010,2010,,Multiple,Fish: one,Mixed,Fish: Estuary,Unknown,,Juvenile/adult,,Yes,bioaccumulation,Polar,,Multiple,,,CV,
P_0341,Yes,,Multiple,2010,2018,,Multiple,,Mixed,,Unknown,,Juvenile/adult,,No,,Temperate,,Multiple,Fish: one,,CV,
P_0057,Yes,,Multiple,2011,2011,,Multiple,Fish: One,Mixed,Fish: Freshwater,Unknown,,Juvenile/adult,,No,,Mixed,Fish: temperate,Multiple,,,CV,
P_0386,No,,Multiple,2012,2016,,Multiple,,Mixed,,Unknown,,Juvenile/adult,,Yes,Bioaccumulation in aquatic environment,Subtropical,,Multiple,,,LR,
P_0151,Yes,,Multiple,2012,2012,,One,,Mixed,Estuarine and freshwater,Female,,Juvenile/adult,,Yes,bioaccumulation,Temperate,,Multiple,,,CV,
P_0550,Yes,,Multiple,2012,2019,,Multiple,,Mixed,,Unknown,,Juvenile/adult,,Yes,PFAS exposure among varying trophic levels,Temperate,,Multiple,,,LR,
P_0040,Yes,,Multiple,2013,2015,,Multiple,,Mixed,,Unknown,,Juvenile/adult,,Yes,Bioconcentration profiles,Mixed,,Multiple,,,CV,
P_0433,Yes,,Multiple,2014,2014,,Multiple,,Mixed,,Unknown,,Juvenile/adult,,Yes,"Biomagnification and trophic transfer within the food chain, human risk assessment ",Subtropical,,Multiple,,,LR,
P_0600,Yes,,Multiple,2014,2015,,Multiple,,Mixed,,Unknown,,Juvenile/adult,,Yes,"Assessment of phase partitioning, bioconcentration and ecological risk of
PFAS.",Subtropical,,Multiple,,,LR,
P_0190,Yes,,Multiple,2014,2016,,Multiple,,Mixed,Marine and Freshwater,Mixed,,Juvenile/adult,,Yes,Species specific mechanisms for PFAS (for accumulation of PFOA),Mixed,,One,,,CV,
P_0264,Yes,,Multiple,2015,2016,,Multiple,,Mixed,,Unknown,,Juvenile/adult,,Yes,bioaccumulaton & biomagnification,Subtropical,,Multiple,,,CV,
P_0561,Yes,,Multiple,2015,2015,,Multiple,,Mixed,,Unknown,,Juvenile/adult,,Yes,analysis of bioaccumulation factors and human health risk for consumption of acquatic food,Temperate,,Multiple,,,CV,
P_0598,Yes,,Multiple,2016,2017,,Multiple,,Mixed,,Unknown,,Juvenile/adult,,Yes,"spatial trends and temporal trends of different PFAS, compare PFAS conc between Baltic Sea and Finish freshwater systems",Temperate,,One,,,LR,
P_0138,Yes,,Multiple,2017,2020,,Multiple,,Mixed,,Unknown,,Mixed,Fish: Juvenile/adult,No,,Temperate,,Multiple,,,CV,
P_0030,Yes,,Multiple,2017,2018,,Multiple,,Mixed,,Unknown,,Juvenile/adult,,Yes,"Evidence that PFAS can propagate to riparian food web via aquatic insects, bioaccumulation",Temperate,,Multiple,,,CV,
P_0203,Yes,,Multiple,2017,2017,,Multiple,,Mixed,,Unknown,,Juvenile/adult,,Yes,Organofluorine mass balance,Temperate,,One,,,CV,
P_0370,Yes,,Multiple,2017,2018,,Multiple,,Mixed,,Unknown,,Juvenile/adult,,Yes,Transfer of PFAS from Aquatic to terrestrial environment,Temperate,,One,,,LR,
P_0357,Yes,,Multiple,2018,2018,,Multiple,,Mixed,,Unknown,,Juvenile/adult,,Yes,Bioaccumulation,Polar,,Multiple,,,CV,
P_0272,No,,Multiple,1981,Unknown,,Multiple,,Mixed,,Unknown,,Mixed,Fish: Juvenile/adult,No,,Polar,,Multiple,,,CV,
P_0549,Yes,,One,unknown,unknown,,Multiple,,Mixed,,Mixed,,Juvenile/adult,,No,,Mixed,,Multiple,,,LR,
P_0661,Yes,,Multiple,unknown,unknown,,Multiple,,Mixed,,Unknown,,Juvenile/adult,,No,,Mixed,,Multiple,,,CV,
P_0576,No,,Multiple,unknown,unknown,,Multiple,,Mixed,,Unknown,,Juvenile/adult,,No,,Temperate,,Multiple,,,CV,
P_0085,Yes,,Multiple,Unknown,Unknown,,Multiple,,Mixed,,Unknown,,Juvenile/adult,,No,,Temperate,,Multiple,Fish: one,,CV,
P_0609,Yes,,Multiple,unknown,unknown,,Multiple,,Mixed,,Unknown,,Mixed,,Yes,Optimization of PFAS analysis system,Temperate,,Multiple,,,LR,
P_0165,Yes,,Multiple,Unknown,Unknown,,Multiple,,Mixed,,Unknown,,Juvenile/adult,,No,,Temperate,,One,,,CV,
P_0002,No,,Multiple,2005,2005,,One,,Terrestrial coastal,,Mixed,,Juvenile/adult,,Yes,,Polar,,One,,,CV,
P_0006,Yes,,Multiple,1968,2003,,One,,Terrestrial coastal,,Unknown,,Eggs/early development,,Yes,temporal trends,Temperate,,One,,,CV,
P_0092,Yes,,Multiple,1975,2011,,Multiple,,Terrestrial coastal,,Unknown,,Eggs/early development,,No,,Polar,,One,,,CV,
P_0098,Yes,,Multiple,1975,2004,,Multiple,,Terrestrial coastal,,Mixed,,Juvenile/adult,,No,,Polar,,One,,,CV,
P_0262,Yes,,Multiple,1977,2014,,One,,Terrestrial coastal,,Unknown,,Eggs/early development,,Yes,Long-term trends,Temperate,,One,,,CV,
P_0219,Yes,,Multiple,1980,2009,,One,,Terrestrial coastal,,Unknown,,Mixed,,Yes,"temporal trends, maternal transfer pf PFAS",Temperate,,Multiple,,,CV,
P_0532,Yes,,Multiple,1983,2003,,One,,Terrestrial coastal,,Unknown,,Eggs/early development,,Yes,Herring gull eggs used as bioindicators for pollutant levels in their habitat,Polar,,One,,,LR,
P_0324,Yes,,Multiple,1986,2014,,One,,Terrestrial coastal,,Unknown,,Eggs/early development,,Yes,Temporal trends,Polar,,One,,,CV,
P_0133,No,,Multiple,1988,2008,,One,,Terrestrial coastal,,Unknown,,Eggs/early development,,No,,Temperate,,One,,,CV,
P_0631,Yes,,Multiple,1990,2011,,Multiple,,Terrestrial coastal,,Unknown,,Eggs/early development,,Yes,Temporal trends. Relationship between PFAS level and diet. Investigate whether the phase-out has a noticeable effect on the concentrations,Temperate,,One,,,CV,
P_0506,Yes,,Multiple,1990,2010,,One,,Terrestrial coastal,,Unknown,,Eggs/early development,,Yes,Temporal trends,Temperate,,One,,,CV,
P_0124,Yes,,Multiple,1997,2014,,Multiple,,Terrestrial coastal,,Unknown,,Eggs/early development,,Yes,"Comparison of PFAS contaminationin the freshwater and terrestrial
environments",Temperate,,One,,,CV,
P_0544,No,,Multiple,2000,2002,,One,,Terrestrial coastal,,Unknown,,Eggs/early development,,Yes,EFFECTS OF CONTAMINANT EXPOSURE ON REPRODUCTIVE SUCCESS,Temperate,,One,,,LR,
P_0212,Yes,,Multiple,2002,2005,,One,,Terrestrial coastal,,Unknown,,Eggs/early development,,Yes,spatial trends,Temperate,,One,,,CV,
